ID,NUMBER,NAME,SEX,BIRTHDAY,TEL,CTCT_NAME,CTCT_ADDR,CTCT_TEL,PSPT_NO,PSPT_DATE,PSPT_NAME,RENTAL
1,WAP00104,北川　公一,1,1966-09-03,098-845-7881,,,017-658-5432,,,,
2,WAP00105,Buchanan Pearson,1,1949-09-03,06-6513-3352,,,048-453-4262,,,,
3,WAP00106,Stokes Mosley,1,1949-09-06,048-801-7860,,,084-707-3194,,,,
4,WAP00107,Consuelo Cohen,2,1991-08-11,045-626-6044,,,084-311-5322,,,,
5,WAP00108,Luisa Brown,2,1992-07-28,042-804-3588,,,013-565-1339,,,,
6,WAP00110,鶴岡　勝彦,1,1989-02-13,0537-65-9196,,,012-720-6267,,,,
7,WAP00111,谷内　梨央,2,1987-02-17,076-230-5395,,,071-228-7554,,,,
8,WAP00112,小山田　正和,1,1987-05-24,096-266-1997,,,088-662-7651,,,,
9,WAP00117,Shanna Taylor,2,1993-09-21,042-857-9972,,,090-005-3536,,,,
10,WAP00118,李 男皆,1,1986-09-12,022-729-9752,,,089-326-3830,,,,
11,WAP00119,Matthews Walls,1,1987-04-18,052-534-6889,,,059-265-7543,,,,
12,WAP00148,May Walker,1,1991-02-21,093-607-1445,,,057-468-1077,,,,
13,WAP00152,Mcgee Munoz,1,1986-05-11,052-534-2903,,,048-141-8726,,,,
14,WAP00155,Salas Rollins,1,1987-07-15,045-626-5432,,,015-553-8501,,,,
15,WAP00161,Hogan Duffy,1,1990-05-15,042-206-8116,,,002-808-4847,,,,
16,WAP00163,Bernadine Hewitt,2,1985-06-15,043-398-8725,,,031-275-7381,,,,
17,WAP00165,陈 奕单,1,1992-04-15,095-867-7604,,,091-134-6911,,,,
18,WAP00166,Tucker Battle,1,1991-02-25,025-323-2805,,,023-140-2945,,,,
19,WAP00167,Juarez Sellers,1,1988-06-14,04996-5-5512,,,048-470-4305,,,,
20,WAP00169,Tyler Delgado,1,1988-08-23,029-351-3501,,,048-578-4857,,,,
21,APPLY000001,Aine Logon,2,1989-09-14,029-351-3500,,,003-422-0926,,,,
22,APPLY000002,Li Lei,1,1989-06-18,025-323-2804,,,083-680-7786,,,,
23,APPLY000003,Han MeiMei,2,1991-08-22,04996-5-5511,,,019-841-6387,,,,
